Prefix as character	Prefix as number	Mnemonic	Admin Area Name Inc Vars	Admin Area Name	ATCO	Traveline Region	Notes
	1	London	Greater London	Greater London	490	London	Uses Numerics
ADC	232	Aberdeen	Aberdeen City	Aberdeen	639	Scotland	
AHL	245	Ampthill	Central Bedfordshire	Central Bedfordshire	21	South East	
AND	263	Andover	Hampshire (var 3)	Hampshire	190	South West	Not in use
ANG	264	Angus	Angus	Angus	649	Scotland	
AOL	265	Clackmannanshire	Clackmannanshire	Clackmannanshire	668	Scotland	
AYL	295	Aylesbury	Buckinghamshire (var 2)	Buckinghamshire	40	South East	Not in use
AYR	297	Ayr	South Ayrshire	South Ayrshire	619	Scotland	
BFS	237	Bedford	Bedford	Bedford	20	South East	
BHM	Birmingham	246	National - West Midlands Rail	National - Tram/Metro/Underground	940	DfT	Not used for Rail
BHM	Birmingham	246	West Midlands (var 5)	West Midlands	430	West Midlands	Not in use
BIR	247	Merseyside (var 3)	Merseyside	Merseyside	280	North West	Not in use
BKE	253	Basingstoke	Hampshire (var 4)	Hampshire	190	South West	Not in use
BKN	256	Bracknell Forest	Bracknell Forest	Bracknell Forest	38	South East	Not in use
BLA	252	Blackburn with Darwen	Blackburn with Darwen	Blackburn with Darwen	258	North West	Not in use
BLG	254	Blaenau Gwent	Blaenau Gwent	Blaenau Gwent	532	Wales	Not in use?
BLP	257	Blackpool	Blackpool	Blackpool	259		North West
BLP	257	Blackpool	National - Blackpool Fleetwood	National - Train/metro/Underground	940	North West	
BLY	259	Barnsley	National - South Yorkshire Rail & Fleetwood	National - Tram/Metro/Underground	940	DfT	Not in use
BLY	259	Barnsley	South Yorkshire (var 3)	South Yorkshire	370	Yorkshire	Not in use
BOU	268	Bournemouth	Bournemouth	Bournemouth	129	South West	
BRA	272	Bradford	West Yorkshire (var 3)	West Yorkshire	450	Yorkshire	
BRE	273	Bridgend	Bridgend	Bridgend	551	Wales	
BRI	274	Brighton	Brighton & Hove	Brighton & Hove	149	South East	
BRK	275	West Berkshire	West Berkshire	West Berkshire	30	South East	
BST	278	Bristol	Bristol, City of	Bristol	10	South West	
BTH	284	Bath	Bath & North East Somerset	Bath & North East Somerset	18	South West	
BUC	282	Buckinghamshire	Buckinghamshire	Buckinghamshire	40	South East	
BUR	287	Burton-on-Trent	Staffordshire (var 2)	Staffordshire	380	West Midlands	Not in use
BWC	292	Berwick	Northumberland (var 3)	Northumberland	310	North East	Not in use
BXT	298	Buxton	Derbyshire (var 4)	Derbyshire	100	East Midlands	
CDI	234	Cardiff	Cardiff	Cardiff	571	Wales	
CEJ	235	Ceredigion	Ceredigion	Ceredigion	523	Wales	
CHA	242	Chatham	Medway	Medway	249	South East	
CHE	243	Cheshire East	Cheshire East	Cheshire East	60	North west	
CHT	248	Cheltenham	Gloucestershire (var 3)	Gloucestershire	160	South West	Not in use
CHW	249	Cheshire West	Cheshire West & Chester	Cheshire & Chester	61	North West	
